,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Age_Years,Is_Active
1165,Full-Time,Zone A,Full-Time,Production       ,Engineers,MA,Engineer,Male,20973,Other,Single,,1
449,Contract,Zone C,Temporary,IT/IS,General - Con,MA,Lineman,Female,70578,Hispanic,Single,,1
999,Full-Time,Zone A,Full-Time,Production       ,General - Con,MA,Technician,Female,11397,Hispanic,Widowed,,0
1193,Contract,Zone A,Full-Time,Production       ,Executive,MA,Executive Assistant,Male,70072,Asian,Single,57.75,1
1323,Full-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Tower Hand,Female,3204,Other,Widowed,47.16,1
2960,Full-Time,Zone C,Full-Time,Production       ,General - Sga,MA,Supervisor,Male,46093,Other,Widowed,,1
986,Part-Time,Zone A,Full-Time,Production       ,Finance & Accounting,MA,Accounting,Male,51599,Black,Widowed,81.08,1
1108,Contract,Zone B,Part-Time,Production       ,General - Con,MA,Foreman,Female,30912,Black,Widowed,24.14,1
1463,Contract,Zone B,Full-Time,Production       ,Splicing,MA,Laborer,Female,55466,White,Widowed,,1
1940,Contract,Zone C,Part-Time,Production       ,Wireline Construction,MA,Foreman,Female,6820,Hispanic,Widowed,,1
2430,Full-Time,Zone A,Part-Time,Production       ,General - Con,MA,Laborer,Male,93847,White,Single,50.97,1
2193,Full-Time,Zone B,Full-Time,Sales,General - Con,MA,Laborer,Male,14776,Asian,Married,51.89,1
2388,Contract,Zone C,Part-Time,Production       ,Project Management - Con,MA,Manager,Female,62651,Asian,Single,,1
2608,Contract,Zone C,Temporary,Production       ,Engineers,MA,Director,Female,33464,Other,Divorced,,1
482,Part-Time,Zone C,Part-Time,IT/IS,General - Eng,MA,Administrative,Female,58900,Other,Married,,1
1017,Contract,Zone C,Part-Time,Production       ,General - Con,MA,Laborer,Female,78331,White,Divorced,,1
1093,Full-Time,Zone A,Full-Time,Production       ,Sales & Marketing,MA,Vp,Female,34189,White,Divorced,48.74,1
2130,Full-Time,Zone B,Temporary,IT/IS,Engineers,MA,Engineer,Female,96051,Black,Married,,1
310,Part-Time,Zone B,Part-Time,Production       ,People Services,MA,Director,Male,67176,Hispanic,Divorced,78.14,1
1265,Part-Time,Zone C,Part-Time,IT/IS,Engineers,MA,Engineer,Female,23764,Other,Widowed,,1
2936,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Laborer,Male,31018,Black,Married,,1
1580,Full-Time,Zone C,Temporary,Production       ,Splicing,MA,Splicer,Female,10308,Black,Widowed,45.66,1
2446,Part-Time,Zone A,Full-Time,Production       ,Field Operations,MA,Supervisor,Male,92640,Hispanic,Divorced,26.06,1
607,Full-Time,Zone C,Part-Time,Software Engineering,Project Management - Con,MA,Manager,Female,1043,Black,Single,47.39,1
2837,Part-Time,Zone C,Part-Time,Production       ,General - Eng,MA,Engineer,Male,16282,Asian,Married,74.32,0
1823,Contract,Zone C,Temporary,IT/IS,Aerial,CT,Groundman,Female,13557,Asian,Married,62.89,1
2743,Full-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Technician,Male,16568,Asian,Married,,1
527,Full-Time,Zone B,Temporary,IT/IS,General - Con,MA,Flagger,Female,87816,Hispanic,Married,78.14,1
342,Full-Time,Zone A,Full-Time,Production       ,Fielders,MA,Engineer,Male,15968,Asian,Married,,1
1291,Full-Time,Zone B,Temporary,IT/IS,Field Operations,MA,Driller,Male,17318,Other,Divorced,23.75,1
2035,Part-Time,Zone C,Full-Time,Production       ,General - Con,MA,Foreman,Female,83298,White,Married,76.81,1
430,Contract,Zone B,Temporary,IT/IS,Fielders,MA,Engineer,Male,18837,Black,Widowed,,1
1822,Contract,Zone C,Part-Time,IT/IS,Field Operations,MA,Laborer,Female,2760,Black,Divorced,30.48,1
2885,Part-Time,Zone C,Temporary,Production       ,Engineers,MA,Engineer,Male,27839,Hispanic,Married,,1
2226,Full-Time,Zone C,Part-Time,Sales,Wireline Construction,MA,Operator,Male,25594,White,Widowed,,1
1249,Part-Time,Zone B,Full-Time,IT/IS,Catv,MA,Foreman,Male,82767,Other,Widowed,61.07,1
2233,Part-Time,Zone C,Part-Time,Sales,Shop (Fleet),TN,Mechanic,Male,33045,Asian,Divorced,,1
2424,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Construction Manager,Male,26839,Black,Divorced,57.67,1
2767,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Groundman,Female,46143,Asian,Divorced,29.15,1
219,Part-Time,Zone A,Full-Time,Production       ,Splicing,MA,Splicer,Female,77551,Hispanic,Widowed,57.0,1
1419,Full-Time,Zone C,Temporary,Production       ,Aerial,MA,Foreman,Male,85558,Black,Single,,1
2201,Part-Time,Zone A,Temporary,Sales,Sales & Marketing,TN,Vp,Male,33113,Hispanic,Divorced,,1
2814,Part-Time,Zone B,Full-Time,Production       ,General - Sga,MA,Administrator,Female,56978,White,Divorced,77.14,1
2594,Contract,Zone A,Temporary,Production       ,Wireline Construction,MA,Administrative,Male,95247,Other,Single,,1
2088,Contract,Zone A,Full-Time,IT/IS,General - Sga,MA,Administrator,Male,88143,Hispanic,Single,28.24,1
1703,Contract,Zone C,Part-Time,Production       ,Field Operations,MA,Tower Hand,Female,54337,Other,Married,,1
271,Full-Time,Zone A,Full-Time,Production       ,Catv,MA,Foreman,Female,16462,Hispanic,Married,40.07,1
2060,Part-Time,Zone A,Temporary,IT/IS,Splicing,MA,Laborer,Male,86917,White,Single,46.31,1
2609,Full-Time,Zone B,Temporary,Production       ,Technology / It,MA,Administrator,Female,94333,White,Widowed,,1
2385,Part-Time,Zone B,Temporary,Production       ,General - Eng,MA,Manager,Male,44272,White,Divorced,,0
639,Full-Time,Zone C,Temporary,Software Engineering,Catv,MA,Operator,Male,61106,Hispanic,Single,,1
2011,Contract,Zone A,Full-Time,Production       ,Wireless,MA,Operator,Female,47253,Black,Divorced,,1
492,Contract,Zone C,Full-Time,IT/IS,Field Operations,MA,Tower Hand,Female,42410,Asian,Divorced,80.48,1
1560,Full-Time,Zone C,Part-Time,Production       ,General - Sga,MA,Administrator,Female,75570,White,Single,,1
2090,Full-Time,Zone A,Full-Time,IT/IS,Aerial,MA,Laborer,Male,20916,Asian,Single,61.25,1
1634,Full-Time,Zone A,Full-Time,Production       ,Engineers,MA,Field Project Manager,Female,55355,Other,Married,78.57,1
893,Part-Time,Zone B,Full-Time,Admin Offices,Wireline Construction,MA,Billing,Female,2170,White,Widowed,41.57,1
1180,Contract,Zone C,Temporary,Production       ,Shop (Fleet),MA,Shop,Female,36632,Hispanic,Married,37.22,1
1224,Part-Time,Zone A,Temporary,IT/IS,Aerial,MA,Laborer,Female,13117,Black,Widowed,,0
526,Full-Time,Zone B,Full-Time,IT/IS,General - Eng,MA,Engineer,Female,78692,White,Married,,1
2416,Full-Time,Zone C,Temporary,Production       ,General - Con,MA,Technician,Male,31013,Black,Married,82.89,1
1104,Part-Time,Zone A,Full-Time,Production       ,Aerial,MA,Lineman,Female,2315,Asian,Widowed,39.65,0
735,Full-Time,Zone C,Temporary,Production       ,General - Con,MA,Laborer,Female,85444,Asian,Widowed,,1
1390,Contract,Zone A,Temporary,Production       ,Aerial,MA,Lineman,Female,41874,Other,Divorced,37.51,1
2331,Part-Time,Zone A,Full-Time,Production       ,Wireline Construction,MA,Lineman,Male,2050,Other,Divorced,78.08,0
665,Part-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Clerk,Female,2066,Hispanic,Divorced,,1
2942,Part-Time,Zone A,Temporary,Production       ,General - Con,MA,Locator,Female,22374,Other,Single,,0
2421,Full-Time,Zone A,Temporary,Production       ,Project Management - Con,MA,Project Manager,Male,59518,White,Single,,0
762,Contract,Zone C,Full-Time,Production       ,General - Eng,MA,Engineer,Female,55949,Other,Married,36.5,0
2760,Contract,Zone C,Full-Time,Production       ,Wireline Construction,MA,Project Manager,Female,13522,Black,Single,62.41,1
2611,Part-Time,Zone B,Temporary,Production       ,Field Operations,MA,Laborer,Male,76217,White,Divorced,,1
2244,Part-Time,Zone C,Temporary,Sales,Field Operations,MA,Coordinator,Male,10712,Asian,Widowed,,1
547,Part-Time,Zone C,Full-Time,IT/IS,General - Eng,TX,Engineer,Male,97255,Other,Married,38.51,0
1707,Part-Time,Zone B,Temporary,Production       ,Aerial,MA,Foreman,Female,36904,Hispanic,Widowed,23.32,1
337,Full-Time,Zone B,Temporary,Production       ,General - Sga,MA,Manager,Female,41487,Black,Single,,1
2828,Contract,Zone C,Part-Time,Production       ,Yard (Material Handling),MA,Runner,Male,65332,Other,Widowed,63.58,1
560,Full-Time,Zone A,Full-Time,IT/IS,Catv,TX,Supervisor,Male,81376,Other,Widowed,42.83,0
2387,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Technician,Male,19550,Hispanic,Single,,1
1112,Part-Time,Zone A,Full-Time,Production       ,Project Management - Con,MA,Laborer,Male,79458,Hispanic,Widowed,63.91,0
245,Part-Time,Zone A,Full-Time,Production       ,General - Con,MA,Foreman,Female,44501,Asian,Divorced,,1
97,Contract,Zone B,Full-Time,Sales,Field Operations,TX,Laborer,Male,6074,Asian,Divorced,25.14,0
