,Current Employee Rating
1165,3
449,3
999,3
1193,3
1323,3
2960,3
986,3
1108,3
1463,3
1940,5
2430,2
2193,1
2388,4
2608,1
482,3
1017,3
1093,3
2130,2
310,5
1265,3
2936,5
1580,3
2446,4
607,3
2837,5
1823,5
2743,2
527,3
342,3
1291,3
2035,2
430,3
1822,4
2885,4
2226,1
1249,3
2233,4
2424,4
2767,1
219,3
1419,3
2201,2
2814,1
2594,2
2088,4
1703,1
271,3
2060,4
2609,2
2385,4
639,3
2011,5
492,3
1560,3
2090,2
1634,3
893,3
1180,3
1224,3
526,3
2416,1
1104,3
735,3
1390,3
2331,2
665,3
2942,2
2421,1
762,3
2760,3
2611,2
2244,5
547,3
1707,2
337,3
2828,3
560,3
2387,2
1112,3
245,3
97,2
1312,3
1690,2
2904,2
2572,2
1680,1
1574,3
2049,2
1653,3
2310,4
2784,2
2568,4
1204,3
2938,3
1524,3
1465,3
989,3
1564,3
287,4
2906,3
2612,5
445,3
899,3
179,3
1987,2
1208,3
1510,3
2673,5
574,3
2308,2
1373,3
2969,4
2657,4
168,1
1549,3
2333,2
1284,3
767,3
2623,4
1635,3
802,3
2818,1
2711,4
2265,4
1016,3
1828,2
2314,4
330,2
1198,3
2359,1
1592,3
534,3
1085,3
282,5
1595,3
1897,4
2009,4
1544,3
2433,2
2267,4
131,1
2137,1
1401,3
1058,3
2580,2
972,3
1832,1
1219,3
1924,4
1543,3
2158,2
311,3
2027,5
2621,2
1474,3
1638,3
2037,2
2953,1
1803,2
81,5
1845,2
1276,3
376,3
2807,3
187,2
1584,3
2639,1
2502,2
2739,2
1829,5
1388,3
2413,2
1089,3
2023,1
2462,1
2987,3
2947,4
480,3
1053,3
2984,2
1528,3
2283,5
1278,3
1487,3
326,4
1843,4
645,3
2615,4
2643,1
1285,3
11,3
1870,2
1844,2
2410,4
1669,3
300,3
1317,3
105,1
2117,1
640,3
570,3
228,3
824,3
1990,4
1264,3
477,3
1872,2
1504,3
2464,1
1946,2
1354,3
1046,3
2959,2
826,3
2078,1
2727,2
2356,1
1969,1
1513,3
2429,5
1416,3
2642,4
1774,2
691,3
2917,3
84,4
2402,2
1233,3
1435,3
1006,3
721,3
613,3
771,3
2261,1
2004,4
307,3
2669,5
1938,1
100,1
2053,2
1476,3
2757,5
1508,3
2481,1
1633,3
1379,3
2874,1
1646,3
2687,2
919,3
2118,4
1074,3
747,3
2360,4
397,3
2015,1
515,3
2043,5
2495,5
1596,3
888,3
738,3
2509,1
2740,4
362,3
2185,4
2841,2
1777,2
1454,3
979,3
1040,3
2764,2
2692,5
801,3
1708,2
808,3
1333,3
2791,5
1693,2
518,3
2891,3
2126,2
1296,3
37,5
770,3
1462,3
1959,1
2595,1
17,3
1012,3
2057,4
2000,5
380,3
700,3
2805,1
2298,4
401,3
1996,1
1683,4
2191,4
257,3
2826,2
1470,3
1783,4
752,3
2182,2
1753,5
1717,2
2061,1
1879,1
1259,3
1957,5
1310,3
2952,4
2210,5
1068,3
2263,4
181,3
390,3
662,3
315,2
836,3
1805,5
383,3
335,2
62,2
1642,3
388,3
1009,3
202,5
551,3
1908,4
2150,2
54,4
