state_code,city,latitude,longitude,temperature_f,feels_like_f,temperature_min_f,temperature_max_f,humidity,pressure_hpa,visibility_m,cloud_cover,wind_speed,wind_direction,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,sunlight_hours,weather_main,weather_description,weather_code,timezone_offset_seconds,retrieved_at_utc
AK,Juneau,58.3019,-134.4197,48.2,45.06800000000008,48.2,48.41600000000001,81,1018,10000,75,3.09,320,,0.33,,,,16.976944444444445,Rain,light rain,500,-28800,2026-05-18T21:45:19.958885+00:00
AL,Montgomery,32.3777,-86.3,89.09600000000005,92.53399999999999,87.51200000000006,89.97800000000007,49,1019,10000,0,4.63,160,,,,,,13.881666666666666,Clear,clear sky,800,-18000,2026-05-18T21:45:19.770781+00:00
AR,Little Rock,34.7465,-92.2896,83.37200000000004,89.15,81.21200000000006,84.68600000000006,70,1014,10000,100,5.14,200,8.75,,,,,14.053611111111111,Clouds,overcast clouds,804,-18000,2026-05-18T21:45:20.465506+00:00
AZ,Phoenix,33.4484,-112.074,84.81200000000005,82.58000000000004,81.91400000000003,87.566,29,1006,10000,39,2.68,206,4.47,,,,,13.959444444444445,Clouds,scattered clouds,802,-25200,2026-05-18T21:45:20.139158+00:00
CA,Sacramento,38.5816,-121.4944,81.57200000000003,79.57400000000001,79.98800000000004,84.41600000000001,20,1012,10000,0,8.75,340,12.35,,,,,14.358888888888888,Clear,clear sky,800,-25200,2026-05-18T21:45:20.668204+00:00
CO,Denver,39.7392,-104.9903,41.72000000000006,36.68000000000004,39.77600000000009,43.44800000000002,91,1013,111,100,3.58,15,3.58,2.37,,,,14.456111111111111,Rain,moderate rain,501,-21600,2026-05-18T21:45:20.851334+00:00
CT,Hartford,41.7658,-72.6734,85.28000000000004,87.11600000000001,83.858,88.016,51,1019,10000,0,6.69,200,10.8,,,,,14.636111111111111,Clear,clear sky,800,-14400,2026-05-18T21:45:21.036705+00:00
DC,Washington,38.9072,-77.0369,94.04600000000005,97.75400000000005,90.98600000000008,96.62000000000006,41,1019,10000,20,5.14,170,,,,,,14.382777777777777,Clouds,few clouds,801,-14400,2026-05-18T21:45:29.486222+00:00
DE,Dover,39.1582,-75.5244,90.62600000000009,94.85600000000002,90.05,91.184,48,1019,10000,0,0.89,268,0.89,,,,,14.403888888888888,Clear,clear sky,800,-14400,2026-05-18T21:45:21.222443+00:00
FL,Tallahassee,30.4383,-84.2807,90.08600000000007,92.642,89.33000000000004,90.33800000000005,45,1019,10000,75,3.09,0,,,,,,13.748611111111112,Clouds,broken clouds,803,-14400,2026-05-18T21:45:21.398403+00:00
GA,Atlanta,33.749,-84.388,86.70200000000008,86.73800000000004,84.65,88.95200000000008,42,1020,10000,20,4.12,140,,,,,,13.979722222222222,Clouds,few clouds,801,-14400,2026-05-18T21:45:21.632669+00:00
HI,Honolulu,21.3099,-157.8581,80.83399999999999,84.83000000000004,78.13399999999999,83.48000000000005,73,1018,10000,75,7.2,70,11.83,,,,,13.193888888888889,Clouds,broken clouds,803,-36000,2026-05-18T21:45:21.817146+00:00
IA,Des Moines,41.5868,-93.625,78.51200000000006,79.358,76.55,80.43800000000005,70,1005,10000,75,3.6,160,,,,,,14.62111111111111,Clouds,broken clouds,803,-18000,2026-05-18T21:45:22.580445+00:00
ID,Boise,43.615,-116.2023,66.59600000000005,64.07600000000009,64.34600000000005,68.63000000000004,24,1015,10000,0,6.26,294,7.6,,,,,14.818333333333333,Clear,clear sky,800,-21600,2026-05-18T21:45:22.010423+00:00
IL,Springfield,39.7817,-89.6501,65.858,66.32600000000009,64.85,66.14600000000004,89,1012,10000,100,6.69,200,13.89,0.75,,,,14.45861111111111,Rain,light rain,500,-18000,2026-05-18T21:45:22.206488+00:00
IN,Indianapolis,39.7684,-86.1581,68.28800000000004,68.95400000000005,66.38000000000004,69.36800000000008,88,1017,9656,100,3.09,180,,5.57,,,,14.457222222222223,Mist,mist,701,-14400,2026-05-18T21:45:22.386013+00:00
KS,Topeka,39.0473,-95.6752,85.208,93.97400000000002,83.96600000000001,86.50400000000005,72,1002,10000,40,9.77,150,13.38,,,,,14.39611111111111,Clouds,scattered clouds,802,-18000,2026-05-18T21:45:22.758637+00:00
KY,Frankfort,38.2009,-84.8733,86.97200000000004,88.44800000000002,85.80200000000008,88.44800000000002,47,1017,10000,78,2.24,210,4.02,,,,,14.324444444444444,Clouds,broken clouds,803,-14400,2026-05-18T21:45:22.935610+00:00
LA,Baton Rouge,30.4515,-91.1871,90.12200000000004,98.85200000000007,88.016,91.90400000000005,58,1016,10000,75,7.72,160,,,,,,13.75,Clouds,broken clouds,803,-18000,2026-05-18T21:45:23.117372+00:00
MA,Boston,42.3601,-71.0589,78.18800000000005,78.00800000000001,69.24199999999999,83.66000000000008,49,1019,10000,39,0.45,38,1.34,,,,,14.69138888888889,Clouds,scattered clouds,802,-14400,2026-05-18T21:45:23.660859+00:00
MD,Annapolis,38.9784,-76.4922,86.64800000000002,91.59800000000003,85.26200000000006,92.33600000000007,58,1019,10000,0,6.17,180,9.26,,,,,14.38861111111111,Clear,clear sky,800,-14400,2026-05-18T21:45:23.479392+00:00
ME,Augusta,44.3106,-69.7795,66.308,64.56200000000005,65.60600000000002,67.208,41,1020,10000,0,4.63,190,8.75,,,,,14.884444444444444,Clear,clear sky,800,-14400,2026-05-18T21:45:23.302736+00:00
MI,Lansing,42.7325,-84.5555,69.53000000000004,70.55600000000003,68.05400000000006,71.88800000000005,93,1012,10000,75,5.14,190,,,,,,14.72861111111111,Clouds,broken clouds,803,-14400,2026-05-18T21:45:23.844597+00:00
MN,Saint Paul,44.9537,-93.09,59.774000000000015,59.72000000000006,58.58600000000007,61.79000000000002,91,1007,3219,100,2.06,20,,,,,,14.953888888888889,Mist,mist,701,-18000,2026-05-18T21:45:24.035193+00:00
MO,Jefferson City,38.5767,-92.1735,67.29800000000003,67.82000000000006,67.29800000000003,67.29800000000003,87,1010,10000,100,7.43,181,12.75,7.49,,,,14.356111111111112,Rain,heavy intensity rain,502,-18000,2026-05-18T21:45:24.420016+00:00
MS,Jackson,32.2988,-90.1848,87.87200000000004,92.33600000000007,87.15200000000007,88.142,54,1016,10000,0,5.66,150,,,,,,13.876388888888888,Clear,clear sky,800,-18000,2026-05-18T21:45:24.238376+00:00
MT,Helena,46.5891,-112.0391,51.998000000000026,48.596000000000046,49.40600000000003,53.11400000000003,36,1016,10000,0,3.09,350,,,,,,15.134166666666667,Clear,clear sky,800,-21600,2026-05-18T21:45:24.611674+00:00
NC,Raleigh,35.7796,-78.6382,92.55200000000008,96.51200000000006,89.924,95.28800000000004,44,1021,10000,0,1.79,248,6.26,,,,,14.130833333333333,Clear,clear sky,800,-14400,2026-05-18T21:45:26.102926+00:00
ND,Bismarck,46.8083,-100.7837,43.016000000000005,35.708000000000006,41.86400000000003,43.64600000000005,83,1017,10000,100,6.69,350,,0.35,,,,15.158055555555556,Rain,light rain,500,-18000,2026-05-18T21:45:26.289830+00:00
NE,Lincoln,40.8136,-96.7026,58.38800000000005,58.29800000000002,57.23600000000007,60.458000000000006,93,1004,6437,100,2.06,60,,5.05,,,,14.550555555555556,Rain,heavy intensity rain,502,-18000,2026-05-18T21:45:24.860265+00:00
NH,Concord,43.2081,-71.5376,76.06400000000004,75.52400000000002,72.98600000000008,77.64800000000002,46,1019,10000,0,4.63,120,,,,,,14.773888888888889,Clear,clear sky,800,-14400,2026-05-18T21:45:25.236093+00:00
NJ,Trenton,40.2206,-74.7597,93.59600000000005,97.44800000000002,91.07600000000009,95.57600000000009,42,1018,10000,20,3.6,230,,,,,,14.495833333333334,Clouds,few clouds,801,-14400,2026-05-18T21:45:25.423467+00:00
NM,Santa Fe,35.687,-105.9378,73.184,70.77200000000003,71.34800000000003,75.70400000000005,12,1001,10000,0,14.4,250,19.55,,,,,14.125833333333333,Clear,clear sky,800,-21600,2026-05-18T21:45:25.603487+00:00
NV,Carson City,39.1638,-119.7674,59.86400000000003,56.354000000000056,58.01000000000008,62.041999999999994,17,1018,10000,0,7.72,330,,,,,,14.407777777777778,Clear,clear sky,800,-25200,2026-05-18T21:45:25.052707+00:00
NY,Albany,42.6526,-73.7562,91.94000000000003,96.36800000000008,90.66200000000006,92.67800000000007,46,1016,10000,40,4.12,140,,,,,,14.72,Clouds,scattered clouds,802,-14400,2026-05-18T21:45:25.927463+00:00
OH,Columbus,39.9612,-82.9988,87.06200000000005,86.95400000000005,84.65,88.57400000000001,41,1017,10000,0,10.8,220,15.43,,,,,14.474166666666667,Clear,clear sky,800,-14400,2026-05-18T21:45:26.475366+00:00
OK,Oklahoma City,35.4676,-97.5164,88.934,95.25200000000008,87.06200000000005,90.78800000000004,56,1005,10000,75,12.35,180,19.03,,,,,14.108333333333333,Clouds,broken clouds,803,-18000,2026-05-18T21:45:26.653505+00:00
OR,Salem,44.9429,-123.0351,69.65600000000003,68.39600000000004,66.36200000000005,72.08600000000007,44,1023,10000,0,3.6,360,,,,,,14.955555555555556,Clear,clear sky,800,-25200,2026-05-18T21:45:26.840633+00:00
PA,Harrisburg,40.2732,-76.8867,93.29000000000002,92.35400000000006,91.292,93.29000000000002,31,1018,10000,0,5.14,210,10.8,,,,,14.500833333333333,Clear,clear sky,800,-14400,2026-05-18T21:45:27.021716+00:00
RI,Providence,41.824,-71.4128,77.73800000000004,78.13399999999999,73.38200000000002,82.63399999999999,62,1019,10000,0,2.57,0,,,,,,14.641388888888889,Clear,clear sky,800,-14400,2026-05-18T21:45:27.202461+00:00
SC,Columbia,34.0007,-81.0348,91.76000000000008,94.64000000000001,89.16800000000009,94.56800000000008,43,1021,10000,0,5.14,170,7.2,,,,,13.9975,Clear,clear sky,800,-14400,2026-05-18T21:45:27.395814+00:00
SD,Pierre,44.3683,-100.351,42.854000000000056,35.51000000000008,42.854000000000056,43.71800000000009,92,1014,4828,100,6.69,360,10.8,0.87,,,,14.893333333333333,Rain,moderate rain,501,-18000,2026-05-18T21:45:27.577810+00:00
TN,Nashville,36.1627,-86.7816,89.942,90.93200000000002,87.92600000000009,92.08399999999999,41,1018,10000,0,8.75,220,14.4,,,,,14.161111111111111,Clear,clear sky,800,-18000,2026-05-18T21:45:27.788013+00:00
TX,Austin,30.2672,-97.7431,91.58000000000004,101.67800000000007,89.78000000000004,93.90200000000007,57,1009,10000,40,9.26,150,13.89,,,,,13.738055555555556,Clouds,scattered clouds,802,-18000,2026-05-18T21:45:27.972553+00:00
UT,Salt Lake City,40.7608,-111.891,50.522000000000034,47.768000000000086,47.78600000000007,53.780000000000044,53,1015,10000,75,4.63,340,,,,,,14.547222222222222,Clouds,broken clouds,803,-21600,2026-05-18T21:45:28.155233+00:00
VA,Richmond,37.5407,-77.436,94.83800000000005,97.66400000000003,91.22000000000006,96.89000000000001,38,1019,10000,20,4.12,210,,,,,,14.269722222222223,Clouds,few clouds,801,-14400,2026-05-18T21:45:28.533320+00:00
VT,Montpelier,44.2601,-72.5754,87.17000000000006,87.60200000000007,84.70400000000005,87.908,43,1016,10000,40,5.66,220,9.26,,,,,14.879444444444445,Clouds,scattered clouds,802,-14400,2026-05-18T21:45:28.354232+00:00
WA,Olympia,47.0379,-122.9007,68.48600000000008,67.658,65.03000000000004,70.30400000000006,56,1022,10000,40,0.89,121,3.58,,,,,15.186666666666667,Clouds,scattered clouds,802,-25200,2026-05-18T21:45:28.724542+00:00
WI,Madison,43.0731,-89.4012,78.85400000000006,78.85400000000006,77.18000000000004,79.37600000000009,61,1008,10000,75,4.12,240,,,,,,14.761944444444444,Clouds,broken clouds,803,-18000,2026-05-18T21:45:29.103032+00:00
WV,Charleston,38.3498,-81.6326,91.47200000000004,94.15400000000005,89.97800000000007,93.02000000000007,43,1017,10000,20,6.17,220,,,,,,14.336388888888889,Clouds,few clouds,801,-14400,2026-05-18T21:45:28.903554+00:00
WY,Cheyenne,41.14,-104.8202,36.932000000000016,27.212000000000057,35.76200000000006,37.72400000000001,92,1015,10000,100,7.72,360,12.35,,,,,14.581111111111111,Clouds,overcast clouds,804,-21600,2026-05-18T21:45:29.304910+00:00
